2	0.0386791	0.0588139
3	0.0689031	0.122867
4	0.0833949	0.164618
5	0.0919224	0.176288
6	0.0940723	0.162896
7	0.0923832	0.161579
8	0.0884571	0.164864
9	0.113254	0.170796
10	0.130361	0.172153
11	0.0821827	0.166145
13	0.129147	0.163148
14	0.139217	0.170564
15	0.13486	0.189764
16	0.133908	0.13878
17	0.123123	0.132118
18	0.110325	0.130473
19	0.109438	0.131683
20	0.108203	0.128669
21	0.111922	0.130208
22	0.120312	0.13635
24	0.141124	0.13582
25	0.141972	0.186235
26	0.142211	0.150615
27	0.14267	0.152903
28	0.141577	0.15593
29	0.142547	0.146637
30	0.143134	0.146205
31	0.143134	0.146205
32	0.142266	0.148502
33	0.142438	0.149193
35	0.12346	0.153079
36	0.122302	0.15251
37	0.122923	0.16684
38	0.15552	0.163132
39	0.15552	0.163132
40	0.15552	0.163132
41	0.159387	0.186883
42	0.161903	0.184182
43	0.162336	0.184496
44	0.149769	0.179044
46	0.158443	0.169019
47	0.158443	0.169019
48	0.154882	0.169045
49	0.152797	0.177886
50	0.148275	0.178008
51	0.157097	0.177086
52	0.184904	0.177021
53	0.184904	0.177021
54	0.175543	0.170633
55	0.18905	0.174422
57	0.184582	0.171476
58	0.184582	0.171476
59	0.183911	0.173035
60	0.183911	0.173035
61	0.183911	0.173035
62	0.199506	0.178107
63	0.187761	0.174423
64	0.186505	0.174713
65	0.199938	0.176964
66	0.199938	0.176964
68	0.194134	0.18669
69	0.22393	0.191947
70	0.22393	0.191947
71	0.22393	0.191947
72	0.217217	0.191764
73	0.217217	0.191764
74	0.217217	0.191764
75	0.214727	0.19294
76	0.224173	0.182658
77	0.218212	0.181129
79	0.202283	0.180212
80	0.202283	0.180212
81	0.202283	0.180212
82	0.202283	0.180212
83	0.202283	0.180212
84	0.202283	0.180212
85	0.185898	0.205889
86	0.185607	0.224525
87	0.196828	0.203796
88	0.206662	0.206283
90	0.222386	0.177648
91	0.222386	0.177648
92	0.200598	0.179094
93	0.200252	0.172047
94	0.20363	0.172829
95	0.20363	0.172829
96	0.193299	0.172504
97	0.211611	0.177117
98	0.220621	0.181455
99	0.220621	0.181455
101	0.214814	0.192409
102	0.214814	0.192409
103	0.214814	0.192409
104	0.216777	0.18016
105	0.216777	0.18016
106	0.216777	0.18016
107	0.216777	0.18016
108	0.209205	0.178837
109	0.208231	0.178479
110	0.208231	0.178479
